iter	Passed	Remaining
450	1041	1268
451	1042	1264
452	1043	1260
453	1044	1256
454	1045	1252
455	1046	1248
456	1046	1243
457	1047	1239
458	1048	1235
459	1052	1235
460	1053	1232
461	1055	1229
462	1056	1225
463	1057	1221
464	1058	1217
465	1059	1214
466	1060	1210
467	1061	1206
468	1061	1202
469	1062	1197
470	1062	1193
471	1064	1190
472	1069	1191
473	1071	1189
474	1072	1185
475	1073	1182
476	1074	1178
477	1075	1174
478	1076	1170
479	1077	1166
480	1077	1162
481	1078	1159
482	1083	1160
483	1084	1156
484	1086	1154
485	1087	1150
486	1088	1146
487	1089	1143
488	1090	1139
489	1091	1136
490	1092	1132
491	1092	1128
492	1093	1124
493	1099	1125
494	1102	1124
495	1103	1121
496	1105	1118
497	1105	1114
498	1107	1111
499	1107	1107
500	1108	1103
501	1109	1100
502	1116	1102
503	1118	1100
504	1119	1096
505	1119	1093
506	1120	1089
507	1122	1086
508	1122	1083
509	1123	1079
510	1124	1075
511	1128	1075
512	1130	1073
513	1132	1071
514	1133	1067
515	1134	1064
516	1135	1060
517	1136	1057
518	1137	1054
519	1138	1050
520	1138	1047
521	1139	1043
522	1144	1044
523	1146	1041
524	1147	1038
525	1148	1035
526	1149	1031
527	1150	1028
528	1152	1025
529	1153	1022
530	1153	1019
531	1157	1017
532	1159	1015
533	1161	1013
534	1162	1010
535	1162	1006
536	1164	1004
537	1165	1000
538	1169	1000
539	1171	998
540	1172	995
541	1174	992
542	1175	989
543	1176	986
544	1177	983
545	1178	980
546	1179	976
547	1180	973
548	1181	970
549	1184	969
550	1185	965
551	1186	962
552	1187	959
553	1188	956
554	1188	953
555	1189	950
556	1193	949
557	1198	949
558	1199	946
559	1200	943
560	1201	940
561	1202	937
562	1203	934
563	1204	931
564	1205	927
565	1205	924
566	1209	923
567	1211	921
568	1214	919
569	1215	917
570	1216	914
571	1218	911
572	1219	908
573	1230	913
574	1231	910
575	1235	909
576	1242	911
577	1246	909
578	1248	907
579	1250	905
580	1251	902
581	1256	902
582	1258	900
583	1261	898
584	1263	896
585	1265	893
586	1266	891
587	1275	893
588	1279	892
589	1281	890
590	1282	887
591	1287	887
592	1288	884
593	1290	881
594	1291	878
595	1292	875
596	1293	872
597	1294	869
598	1294	866
599	1295	863
600	1297	861
601	1298	858
602	1299	855
603	1301	853
604	1302	850
605	1303	847
606	1304	844
607	1306	842
608	1307	839
609	1307	836
610	1308	833
611	1313	832
612	1314	829
613	1316	827
614	1318	825
615	1319	822
616	1319	819
617	1320	816
618	1321	813
619	1322	810
620	1323	807
621	1329	807
622	1330	805
623	1332	802
624	1335	801
625	1337	799
626	1338	796
627	1341	794
628	1343	792
629	1346	790
630	1347	787
631	1348	785
632	1349	782
633	1350	779
634	1353	777
635	1355	775
636	1356	773
637	1358	770
638	1359	768
639	1360	765
640	1362	762
641	1367	762
642	1370	760
643	1371	758
644	1373	755
645	1374	753
646	1375	750
647	1376	747
648	1378	745
649	1380	743
650	1383	741
651	1384	738
652	1385	736
653	1386	733
654	1388	731
655	1394	731
656	1396	729
657	1399	727
658	1400	724
659	1401	722
660	1402	719
661	1404	717
662	1410	716
663	1411	714
664	1414	712
665	1415	709
666	1416	707
667	1417	704
668	1419	702
669	1425	702
670	1427	699
671	1429	697
672	1430	695
673	1432	692
674	1433	690
675	1434	687
676	1441	687
677	1444	686
678	1445	683
679	1447	680
680	1448	678
681	1449	676
682	1461	678
683	1463	676
684	1465	673
685	1472	674
686	1475	672
687	1477	669
688	1478	667
689	1479	664
690	1481	662
691	1486	661
692	1490	660
693	1491	657
694	1493	655
695	1494	652
696	1495	650
697	1496	647
698	1502	647
699	1505	645
700	1506	642
701	1508	640
702	1509	637
703	1510	635
704	1511	632
705	1518	632
706	1521	630
707	1522	628
708	1523	625
709	1524	622
710	1526	620
711	1527	617
712	1534	617
713	1536	615
714	1537	612
715	1538	610
716	1540	607
717	1541	605
718	1542	602
719	1548	602
720	1551	600
721	1552	597
722	1553	595
723	1554	592
724	1555	590
725	1557	587
726	1562	586
727	1566	585
728	1568	582
729	1569	580
730	1570	577
731	1571	575
732	1572	572
733	1573	570
734	1578	569
735	1579	566
736	1581	564
737	1583	562
738	1583	559
739	1584	556
740	1586	554
741	1587	551
742	1588	549
743	1597	549
744	1598	547
745	1599	544
746	1600	541
747	1601	539
748	1603	537
749	1604	534
750	1608	533
751	1609	530
752	1610	528
753	1611	525
754	1612	523
755	1613	520
756	1620	520
757	1623	518
758	1624	515
759	1626	513
760	1627	511
761	1628	508
762	1629	506
763	1636	505
764	1640	503
765	1641	501
766	1642	498
767	1643	496
768	1644	494
769	1649	492
770	1651	490
771	1653	488
772	1654	486
773	1655	483
774	1656	481
775	1658	478
776	1659	476
777	1660	473
778	1665	472
779	1666	470
780	1669	468
781	1670	465
782	1671	463
783	1672	460
784	1673	458
785	1675	456
786	1677	453
787	1679	451
788	1681	449
789	1682	447
790	1683	444
791	1684	442
792	1685	439
793	1686	437
794	1687	435
795	1688	432
796	1692	431
797	1694	428
798	1695	426
799	1697	424
800	1698	421
801	1699	419
802	1699	417
803	1701	414
804	1702	412
805	1702	409
806	1704	407
807	1706	405
808	1707	403
809	1709	400
810	1710	398
811	1711	396
812	1712	393
813	1713	391
814	1714	389
815	1714	386
816	1715	384
817	1720	382
818	1721	380
819	1724	378
820	1725	376
821	1725	373
822	1726	371
823	1727	369
824	1728	366
825	1729	364
826	1730	361
827	1731	359
828	1735	358
829	1737	355
830	1739	353
831	1740	351
832	1740	349
833	1741	346
